orderid,mkt,itemcode,amount,curcode
1,XBUE,7685,65.13779,AFN
2,XBUE,2615,5.0444593,EUR
3,XBUE,9313,40.590733,ALL
4,XBUE,5891,23.474566,DZD
5,XBUE,1274,79.63342,USD
6,XBUE,8305,32.60789,EUR
7,XBUE,9151,71.350006,AOA
8,XBUE,5216,79.42783,XCD
9,XBUE,411,26.20233,XCD
10,XBUE,4256,61.657238,ARS
11,XBUE,2070,52.941128,AMD
12,XBUE,5304,56.626114,AWG
13,XBUE,3148,13.001619,AUD
14,XBUE,5499,32.85141,EUR
15,XBUE,4879,79.457436,AZN
16,XBUE,5855,48.208984,BSD
17,XBUE,6250,61.169403,BHD
18,XBUE,5410,46.58177,BDT
19,XBUE,3267,75.00465,BBD
20,XBUE,8140,4.6139593,BYN
21,XBUE,8155,91.0954,EUR
22,XBUE,4848,99.05626,BZD
23,XBUE,4450,89.579926,XOF
24,XBUE,7556,43.437866,BMD
25,XBUE,8548,82.68368,INR
26,XBUE,6653,73.22231,BTN
27,XBUE,4949,47.119793,BOB
28,XBUE,6296,90.48099,BOV
29,XBUE,8002,10.09162,USD
30,XBUE,74,81.58481,BAM
31,XBUE,1005,92.066696,BWP
32,XBUE,6558,92.127396,NOK
33,XBUE,971,37.35146,BRL
34,XBUE,2824,50.130104,USD
35,XBUE,5652,7.9169564,BND
36,XBUE,8893,64.898964,BGN
37,XBUE,1909,95.92372,XOF
38,XBUE,8618,82.41846,BIF
39,XBUE,100,16.819082,CVE
40,XBUE,9984,8.329548,KHR
41,XBUE,9376,49.679173,XAF
42,XBUE,6916,91.95258,CAD
43,XBUE,7679,83.589134,KYD
44,XBUE,7079,92.03722,XAF
45,XBUE,4675,0.21135972,XAF
46,XBUE,5942,13.881521,CLP
47,XBUE,138,94.417816,CLF
48,XBUE,3692,27.622757,CNY
49,XBUE,1700,68.51104,AUD
50,XBUE,1358,19.853079,AUD
51,XBUE,2606,40.466553,COP
52,XBUE,1478,12.037313,COU
53,XBUE,1378,72.23373,KMF
54,XBUE,5868,25.521564,CDF
55,XBUE,9244,96.21561,XAF
56,XBUE,9027,43.31687,NZD
57,XBUE,2167,6.739414,CRC
58,XBUE,1537,45.639145,XOF
59,XBUE,6866,98.382675,HRK
60,XBUE,8534,86.08261,CUP
61,XBUE,6493,47.94976,CUC
62,XBUE,9285,69.48092,ANG
63,XBUE,1178,55.351307,EUR
64,XBUE,7190,87.356155,CZK
65,XBUE,2860,20.140266,DKK
66,XBUE,5721,12.098602,DJF
67,XBUE,256,59.43313,XCD
68,XBUE,7288,35.84382,DOP
69,XBUE,5328,77.49238,USD
70,XBUE,7761,51.30829,EGP
71,XBUE,1337,18.999912,SVC
72,XBUE,5477,99.79469,USD
73,XBUE,5200,48.120026,XAF
74,XBUE,1027,24.32876,ERN
75,XBUE,4200,82.10743,EUR
76,XBUE,4947,29.55202,SZL
77,XBUE,6024,87.49305,ETB
78,XBUE,5092,82.551476,EUR
79,XBUE,9020,0.90525126,FKP
80,XBUE,9056,86.89894,DKK
81,XBUE,7453,77.621826,FJD
82,XBUE,6069,14.8693905,EUR
83,XBUE,5747,62.95677,EUR
84,XBUE,6849,7.021697,EUR
85,XBUE,6653,91.965,XPF
86,XBUE,1708,54.316734,EUR
87,XBUE,7196,65.84702,XAF
88,XBUE,1397,77.68578,GMD
89,XBUE,1926,67.10827,GEL
90,XBUE,5920,6.895392,EUR
91,XBUE,403,34.993546,GHS
92,XBUE,7805,66.64401,GIP
93,XBUE,9632,69.47395,EUR
94,XBUE,9547,28.185713,DKK
95,XBUE,7588,71.11728,XCD
96,XBUE,8922,13.173125,EUR
97,XBUE,617,82.66773,USD
98,XBUE,6959,1.9838083,GTQ
99,XBUE,8126,58.119755,GBP
100,XBUE,8463,45.72842,GNF
101,XBUE,2910,51.086357,XOF
102,XBUE,8477,10.1256275,GYD
103,XBUE,7046,97.696724,HTG
104,XBUE,5952,34.247437,USD
105,XBUE,5201,50.996517,AUD
106,XBUE,3312,70.39772,EUR
107,XBUE,4807,41.46617,HNL
108,XBUE,9214,20.985924,HKD
109,XBUE,2777,9.71937,HUF
110,XBUE,5124,16.989649,ISK
111,XBUE,2088,7.8351607,INR
112,XBUE,5502,31.136461,IDR
113,XBUE,4906,80.236176,XDR
114,XBUE,671,98.66801,IRR
115,XBUE,6441,67.77263,IQD
116,XBUE,6684,26.170086,EUR
117,XBUE,9946,31.529535,GBP
118,XBUE,5121,32.360256,ILS
119,XBUE,9134,62.109245,EUR
120,XBUE,2094,67.01224,JMD
121,XBUE,8228,80.44155,JPY
122,XBUE,7767,85.01397,GBP
123,XBUE,1478,70.07982,JOD
124,XBUE,5661,51.25011,KZT
125,XBUE,8084,84.790764,KES
126,XBUE,4380,98.35272,AUD
127,XBUE,5660,56.753445,KPW
128,XBUE,926,77.28467,KRW
129,XBUE,9261,65.72915,KWD
130,XBUE,8910,91.10583,KGS
131,XBUE,1238,96.00803,LAK
132,XBUE,745,42.779118,EUR
133,XBUE,7886,13.122333,LBP
134,XBUE,9801,67.47568,LSL
135,XBUE,5242,48.26937,ZAR
136,XBUE,7951,79.032265,LRD
137,XBUE,6999,24.1657,LYD
138,XBUE,4865,94.99845,CHF
139,XBUE,8970,76.622986,EUR
140,XBUE,2944,85.334076,EUR
141,XBUE,7162,63.209087,MOP
142,XBUE,6266,47.29892,MKD
143,XBUE,8500,29.894543,MGA
144,XBUE,5136,54.79493,MWK
145,XBUE,8482,91.42912,MYR
146,XBUE,8933,73.50982,MVR
147,XBUE,4473,40.069866,XOF
148,XBUE,7459,59.506596,EUR
149,XBUE,2967,51.780113,USD
150,XBUE,3057,56.213192,EUR
151,XBUE,4113,95.320305,MRU
152,XBUE,9516,58.79888,MUR
153,XBUE,8754,28.995457,EUR
154,XBUE,9254,72.43195,XUA
155,XBUE,3504,75.49663,MXN
156,XBUE,5126,42.295975,MXV
157,XBUE,4422,50.36957,USD
158,XBUE,5965,9.776107,MDL
159,XBUE,2352,51.421696,EUR
160,XBUE,9519,77.770996,MNT
161,XBUE,1654,12.459764,EUR
162,XBUE,3148,87.67611,XCD
163,XBUE,7337,35.154133,MAD
164,XBUE,2068,67.888626,MZN
165,XBUE,1158,8.316757,MMK
166,XBUE,2923,79.23673,NAD
167,XBUE,57,3.6899045,ZAR
168,XBUE,1568,89.42215,AUD
169,XBUE,9346,69.253,NPR
170,XBUE,4792,71.18208,EUR
171,XBUE,5932,66.73328,XPF
172,XBUE,2176,40.980015,NZD
173,XBUE,6380,65.386345,NIO
174,XBUE,8407,56.29552,XOF
175,XBUE,2233,94.72624,NGN
176,XBUE,4689,29.280973,NZD
177,XBUE,9244,55.667076,AUD
178,XBUE,6440,58.939022,USD
179,XBUE,9119,92.60963,NOK
180,XBUE,1413,60.963295,OMR
181,XBUE,5259,7.0531783,PKR
182,XBUE,1825,99.90298,USD
183,XBUE,1770,71.27046,PAB
184,XBUE,4100,58.627567,USD
185,XBUE,3729,12.191191,PGK
186,XBUE,8789,91.42041,PYG
187,XBUE,4455,1.7017945,PEN
188,XBUE,6170,88.89013,PHP
189,XBUE,5114,98.97739,NZD
190,XBUE,8932,82.47718,PLN
191,XBUE,1102,88.018105,EUR
192,XBUE,3653,87.44955,USD
193,XBUE,3881,18.410398,QAR
194,XBUE,4792,84.93585,EUR
195,XBUE,416,50.12363,RON
196,XBUE,4832,88.12997,RUB
197,XBUE,6147,4.4905024,RWF
198,XBUE,4498,61.11303,EUR
199,XBUE,3627,90.537315,SHP
200,XBUE,5562,87.94789,XCD
201,XBUE,7157,44.08417,XCD
202,XBUE,9618,26.366785,EUR
203,XBUE,8973,3.1401641,EUR
204,XBUE,1313,69.401184,XCD
205,XBUE,7120,49.787262,WST
206,XBUE,7945,66.993576,EUR
207,XBUE,9027,96.7098,STN
208,XBUE,7382,2.679419,SAR
209,XBUE,4718,7.8550286,XOF
210,XBUE,895,55.63034,RSD
211,XBUE,2858,11.166244,SCR
212,XBUE,810,15.907928,SLL
213,XBUE,4554,35.933163,SGD
214,XBUE,2815,83.72053,ANG
215,XBUE,5413,80.33675,XSU
216,XBUE,256,3.4152334,EUR
217,XBUE,578,24.672132,EUR
218,XBUE,1222,72.10774,SBD
219,XBUE,1570,20.779055,SOS
220,XBUE,1216,25.434698,ZAR
221,XBUE,5827,96.112175,SSP
222,XBUE,8886,50.95343,EUR
223,XBUE,7957,64.95648,LKR
224,XBUE,7050,13.585745,SDG
225,XBUE,5071,83.05652,SRD
226,XBUE,7549,90.85794,NOK
227,XBUE,5416,80.566475,SEK
228,XBUE,8862,18.911203,CHF
229,XBUE,2993,86.82344,CHE
230,XBUE,7368,64.71026,CHW
231,XBUE,1948,57.826042,SYP
232,XBUE,7415,66.53223,TWD
233,XBUE,130,11.771615,TJS
234,XBUE,9876,59.972115,TZS
235,XBUE,1902,67.238144,THB
236,XBUE,2408,96.31747,USD
237,XBUE,8272,79.02778,XOF
238,XBUE,1890,82.46454,NZD
239,XBUE,8891,80.90724,TOP
240,XBUE,9900,65.919525,TTD
241,XBUE,8205,77.15795,TND
242,XBUE,853,11.173418,TRY
243,XBUE,7423,74.45539,TMT
244,XBUE,6074,70.38495,USD
245,XBUE,8614,13.366519,AUD
246,XBUE,5573,66.159294,UGX
247,XBUE,4745,60.61152,UAH
248,XBUE,1243,69.68171,AED
249,XBUE,1735,84.037224,GBP
250,XBUE,5484,82.24915,USD
251,XBUE,8588,14.1365795,USD
252,XBUE,400,47.50822,USN
253,XBUE,8522,4.34034,UYU
254,XBUE,4327,52.201344,UYI
255,XBUE,9295,48.691055,UYW
256,XBUE,361,19.655867,UZS
257,XBUE,2920,53.42378,VUV
258,XBUE,5001,26.94122,VES
259,XBUE,9175,9.394189,VND
260,XBUE,1497,76.26573,USD
261,XBUE,8758,58.540802,USD
262,XBUE,9329,32.177708,XPF
263,XBUE,38,93.21822,MAD
264,XBUE,1328,25.120075,YER
265,XBUE,2693,25.76496,ZMW
266,XBUE,1372,52.298832,ZWL
267,XBUE,6717,6.726435,XBA
268,XBUE,7982,81.85127,XBB
269,XBUE,9919,15.517738,XBC
270,XBUE,4146,2.2002451,XBD
271,XBUE,2166,10.018312,XTS
272,XBUE,9675,92.19211,XXX
273,XBUE,2336,13.736633,XAU
274,XBUE,7860,84.18496,XPD
275,XBUE,8059,71.72116,XPT
276,XBUE,5909,93.195404,XAG
277,XBUE,5238,74.27142,AFA
278,XBUE,5160,99.956505,FIM
279,XBUE,4447,52.590195,ALK
280,XBUE,4,47.014915,ADP
281,XBUE,3441,36.64864,ESP
282,XBUE,2251,94.23983,FRF
283,XBUE,8533,69.71609,AOK
284,XBUE,9457,7.650389,AON
285,XBUE,3596,41.536053,AOR
286,XBUE,4426,32.771004,ARA
287,XBUE,3830,2.5353928,ARP
288,XBUE,8640,43.76715,ARY
289,XBUE,478,63.459343,RUR
290,XBUE,9918,62.745876,ATS
291,XBUE,6804,37.71417,AYM
292,XBUE,5680,92.65817,AZM
293,XBUE,9864,33.257645,RUR
294,XBUE,6265,97.91346,BYB
295,XBUE,315,91.37252,BYR
296,XBUE,4696,70.5792,RUR
297,XBUE,7146,23.451017,BEC
298,XBUE,9018,57.76454,BEF
299,XBUE,470,13.713838,BEL
300,XBUE,6993,8.909857,BOP
301,XBUE,4431,21.64328,BAD
302,XBUE,6444,11.683041,BRB
303,XBUE,3730,25.758131,BRC
304,XBUE,2857,65.370186,BRE
305,XBUE,981,67.24483,BRN
306,XBUE,3118,53.56236,BRR
307,XBUE,4983,49.169334,BGJ
308,XBUE,9298,63.923176,BGK
309,XBUE,1496,16.619726,BGL
310,XBUE,1583,3.0024297,BUK
311,XBUE,6980,64.091034,HRD
312,XBUE,3913,78.31367,HRK
313,XBUE,1890,10.491158,CYP
314,XBUE,157,47.524044,CSJ
315,XBUE,5136,13.816328,CSK
316,XBUE,870,53.88354,ECS
317,XBUE,6932,91.19751,ECV
318,XBUE,4801,98.9061,GQE
319,XBUE,5243,9.421842,EEK
320,XBUE,4554,56.861885,XEU
321,XBUE,4146,21.805075,FIM
322,XBUE,4881,59.18341,FRF
323,XBUE,6328,45.112194,FRF
324,XBUE,6549,68.423615,FRF
325,XBUE,6889,78.04113,GEK
326,XBUE,4503,42.04086,RUR
327,XBUE,6083,66.19579,DDM
328,XBUE,9075,30.180954,DEM
329,XBUE,729,23.651644,GHC
330,XBUE,4942,28.214851,GHP
331,XBUE,5506,78.24335,GRD
332,XBUE,5755,74.8159,FRF
333,XBUE,9506,80.87968,GNE
334,XBUE,6141,57.598705,GNS
335,XBUE,1701,7.349195,GWE
336,XBUE,231,44.33118,GWP
337,XBUE,727,54.120373,ITL
338,XBUE,4385,49.172516,ISJ
339,XBUE,3806,72.39475,IEP
340,XBUE,6008,30.000141,ILP
341,XBUE,3393,37.700165,ILR
342,XBUE,4252,40.14913,ITL
343,XBUE,5010,10.74093,RUR
344,XBUE,6550,62.704105,RUR
345,XBUE,915,3.0365283,LAJ
346,XBUE,6270,25.01491,LVL
347,XBUE,1968,90.43697,LVR
348,XBUE,8528,44.624996,LSM
349,XBUE,9485,88.71843,ZAL
350,XBUE,7231,42.60047,LTL
351,XBUE,8588,79.50183,LTT
352,XBUE,9579,80.43603,LUC
353,XBUE,6185,55.626892,LUF
354,XBUE,8036,96.23254,LUL
355,XBUE,8079,43.81269,MGF
356,XBUE,1701,44.88306,MWK
357,XBUE,9070,58.418808,MVQ
358,XBUE,8789,23.338873,MLF
359,XBUE,4430,10.061041,MTL
360,XBUE,4272,55.005306,MTP
361,XBUE,2577,9.320232,FRF
362,XBUE,1733,12.553276,MRO
363,XBUE,392,11.968001,FRF
364,XBUE,8424,93.74674,MXP
365,XBUE,9421,20.046124,RUR
366,XBUE,2604,89.54618,FRF
367,XBUE,6132,99.268684,MZE
368,XBUE,8187,38.05796,MZM
369,XBUE,2230,69.32317,NLG
370,XBUE,8246,42.71355,ANG
371,XBUE,5015,49.54841,NIC
372,XBUE,6383,55.259636,PEH
373,XBUE,2761,65.346275,PEI
374,XBUE,6658,88.680885,PEN
375,XBUE,1108,40.44486,PES
376,XBUE,6908,6.3745127,PLZ
377,XBUE,6329,56.45524,PTE
378,XBUE,5960,98.70196,FRF
379,XBUE,8206,72.17271,ROK
380,XBUE,553,68.45669,ROL
381,XBUE,4133,18.093298,RON
382,XBUE,864,82.52661,RUR
383,XBUE,1340,50.60989,FRF
384,XBUE,3926,80.21966,FRF
385,XBUE,6654,87.82403,FRF
386,XBUE,4684,75.41161,ITL
387,XBUE,4827,35.709873,STD
388,XBUE,6624,84.545044,CSD
389,XBUE,677,46.89861,EUR
